Contrato,Sector,Concurso,Anio_Proyecto,Titulo_Proyecto,Fecha_Inicio,Fecha_Fin,Empresa,Distrito,Provincia,Region,Ubigeo,Monto_Estado,Aporte_Empresa,Aporte_No_Financiero,Moneda,Fecha_Corte,ANIO_CORTE_ARCHIVO,Fecha_Corte_Std,Anio_Corte_Num,Monto_Total_Proyecto
248-FINCYT-DAL-2013,FINCYT II,DIAG. PARA LA ACREDITACIÓN DE LABORATORIOS,2013,CONCURSO DIAG. PARA LA ACREDITACION DE LABORATORIOS,20140224.0,20140324.0,MICROBAC LABORATORIOS E.I.R.L.,SAN ANDRES,PISCO,ICA,110506.0,2201.5,943.5,0.0,SOLES,20260105,05012026,2026-01-05,20260105,3145.0
248-FINCYT-FIDECOM-PIPEI-2014,FIDECOM,PIPEI,2014,DESARROLLO DE UN SISTEMA DE ESTRUCTURAS GEODESICAS (DOMOS) AUTOPORTANTES CLIMATIZADOS Y ELEMENTOS DE CONFORT.,20140923.0,20160922.0,DOMOS PERU SOCIEDAD ANONIMA CERRADA - DOMOS PERU S.A.C.,CHORRILLOS,LIMA,LIMA,150108.0,279859.186,36428.35,71250.0,SOLES,20260105,05012026,2026-01-05,20260105,387537.53599999996
248-INNOVATEPERU-ADTC2-2020,FINCYT III,CONCURSO AYUDA A LA DEMANDA DE SERVICIOS TECNOLÓGICOS - MIPYME PRODUCTIVA - CATEGORÍA 2,2020,"OBTENCION DE LA CERTIFICACION  ISO 45001:2018 SISTEMA DE GESTION DE SEGURIDAD Y SALUD EN EL TRABAJO EN LA EMPRESA ""CVR CONSULTING S.R.L.""",20201020.0,20211020.0,CVR CONSULTING S.R.L.,EL TAMBO,HUANCAYO,JUNIN,120114.0,54980.0,0.0,16660.0,SOLES,20260105,05012026,2026-01-05,20260105,71640.0
248-INNOVATEPERU-ADTC2-2021,FINCYT III,CONCURSO AYUDA A LA DEMANDA DE SERVICIOS TECNOLÓGICOS - MIPYME PRODUCTIVA - CATEGORÍA 2,2021,"""IMPLEMENTACION Y CERTIFICACION EN LA NORMA  DE CALIDAD ISO 9001:2015",20210326.0,20221025.0,T & C CORPORACION DEL SUR S.A.C.,CALLALLI,CAYLLOMA,AREQUIPA,40504.0,55000.0,0.0,16666.6667,SOLES,20260105,05012026,2026-01-05,20260105,71666.6667
248-INNOVATEPERU-EI-2016,FINCYT II,EMPRENDEDORES INNOVADORES,2016,WIWA CLUB,20160707.0,20190506.0,CARRILLO SARMIENTO ISIS JANETTE,LIMA,LIMA,LIMA,150101.0,53350.0,15771.4286,7548.0,SOLES,20260105,05012026,2026-01-05,20260105,76669.4286
248-INNOVATEPERU-PIEC2-2019,FINCYT III,PROYECTOS DE VALIDACIÓN DE LA INNOVACIÓN,2019,"VALIDACION TECNICA Y COMERCIAL DE LOS SERVICIOS DE AUSCULTACION PROACTIVA, DIGITALIZACION Y CAPTURA DE DATOS POR MEDIO DE TECNOLOGIA LASER 3D PARA LA CONSTRUCCION Y PATRIMONIO CULTURAL.",20191016.0,20220515.0,GUPASSA INGENIEROS S.A.C - GUPASSA ING S.A.C.,CHORRILLOS,LIMA,LIMA,150108.0,442037.29,199858.71,250000.0,SOLES,20260105,05012026,2026-01-05,20260105,891896.0
248-PNICP-ITAI-2015,FINCYT II,INNOVACIONES TECNOLOGICAS DE ALTO IMPACTO,2015,SISTEMA INTELIGENTE Y DESCENTRALIZADO DE GENERACION Y GESTION DE ENERGIA ELECTRICA QUE APROVECHA FUENTES DE ENERGIA RENOVABLE Y BENEFICIA A COMUNIDADES RURALES AISLADAS,20150819.0,20170818.0,ECO CONSULTORIAS E INGENIERIA SOCIEDAD ANONIMA CERRADA,VILLA EL SALVADOR,LIMA,LIMA,150142.0,713929.39,117075.61,92500.0,SOLES,20260105,05012026,2026-01-05,20260105,923505.0
248-PROINNOVATE-BCCF2-2021,FINCYT III,CONCURSO BOOTCAMPS DE CÓDIGO - FASE II,2021,BOOTCAMP CODING DOJO - DESARROLLO DE SOFTWARE FULL STACK,20220103.0,20221103.0,MARIA FERNANDA HEROS CALLIRGOS,,,,,7950.0,0.0,0.0,DOLARES,20260105,05012026,2026-01-05,20260105,7950.0
248-PROINNOVATE-IAN-2022,MIPYME EMPRENDEDOR,FORTALECIMIENTO DE ENTIDADES DE SOPORTE AL EMPRENDIMIENTO - INCUBADORAS Y ACELERADORAS DE NEGOCIOS,2022,INNOVAUL: CENTRO DE EMPRENDIMIENTO DE LA UNIVERSIDAD DE LIMA,20221006.0,20260705.0,UNIVERSIDAD DE LIMA,SANTIAGO DE SURCO,LIMA,LIMA,150140.0,640227.63,219424.37,90000.0,SOLES,20260707,20260707,2026-07-07,20260707,949652.0
248-PROINNOVATE-IMTEMC-2024,BID 4,PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DE CALIDAD,2024,PROYECTO DE IMPLEMENTACION Y CERTIFICACION DE UN SISTEMA DE GESTION DE CALIDAD BASADO EN LA NORMA ISO 9001:2015 EN LA EMPRESA COMPANIA CRONOS S.A.C.,20240417.0,20250517.0,COMPANIA CRONOS SOCIEDAD ANONIMA CERRADA,CERRO COLORADO,AREQUIPA,AREQUIPA,40104.0,45000.0,10285.71,6857.14,SOLES,20250505,20250505,2025-05-05,20250505,62142.85
248-PROINNOVATE-MT-2023,FINCYT III,MISIONES TECNOLÓGICAS,2023,MISION TECNOLOGICA A LOS ESTADOS UNIDOS DE AMERICA: PROSPECCION  COMERCIAL Y ADAPTACION TECNOLOGICA PARA INNOVAR Y DESARROLLAR PERFILES EN CAFES DE ALTA SOFISTICACION.,20230419.0,20230819.0,COOPERATIVA DE PRODUCCION ESPECIAL DE LA SELVA CENTRAL DEL PERU  - COOPERU,CHANCHAMAYO,CHANCHAMAYO,JUNIN,120301.0,29089.26,0.0,0.0,DOLARES,20260105,05012026,2026-01-05,20260105,29089.26
248-PROINNOVATE-PIMENCC-2025,BID 4,INNOVACIÓN EMPRESARIAL PARA MICROEMPRESAS Y ASOCIACIONES - CAMBIO CLIMÁTICO,2025,"""DESARROLLO DE UN MODULO DE POSTCOSECHA AUTOMATIZADO CON LA FINALIDAD DE MEJORAR LA CALIDAD DE CAFE HONEY DE LA EMPRESA  ECOAMAZONAS E.I.R.L., DISTRITO DE SAN NICOLAS, PROVINCIA DE RODRIGUEZ DE MENDOZA, DEPARTAMENTO DE AMAZONAS""",20250603.0,20261203.0,ECOAMAZONAS E.I.R.L.,SAN NICOLAS,RODRIGUEZ DE MENDOZA,AMAZONAS,10601.0,179874.29,23893.24,31950.0,SOLES,20260707,20260707,2026-07-07,20260707,235717.53
249-FIDECOM-INNOVATEPERU-CMCEI-2017,FIDECOM,MEJORA DE LA CALIDAD - INDIVIDUAL,2017,IMPLEMENTACION Y CERTIFICACION DE LA NORMA ISO 9001:2015 EN LA EMPRESA ROCATECH S.A.C.,20170606.0,20190806.0,ROCATECH S.A.C.,LIMA,LIMA,LIMA,150101.0,43555.49,18068.51,25487.0,SOLES,20260105,05012026,2026-01-05,20260105,87111.0
249-FINCYT-DAL-2013,FINCYT II,DIAG. PARA LA ACREDITACIÓN DE LABORATORIOS,2013,CONCURSO DIAG. PARA LA ACREDITACION DE LABORATORIOS,20140224.0,20140324.0,BIOSLAB E.I.R.L.,ICA,ICA,ICA,110101.0,5614.0,2406.0,0.0,SOLES,20260105,05012026,2026-01-05,20260105,8020.0
